"type","choice_list","type_options","name","label","label_parsed","optional","class","showif","value","block_order","item_order","choices","index"
"range","slider_93","1,100,1","slider_93","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"OB",23,"1=Left,2=Right",90
"range","slider_97","1,100,1","slider_97","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"SB",23,"1=Left,2=Right",91
"range","slider_101","1,100,1","slider_101","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"WB",23,"1=Left,2=Right",92
"range","slider_105","1,100,1","slider_105","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"ACA",23,"1=Left,2=Right",93
"range","slider_109","1,100,1","slider_109","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"EC",23,"1=Left,2=Right",94
"range","slider_113","1,100,1","slider_113","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"IC",23,"1=Left,2=Right",95
"range","slider_117","1,100,1","slider_117","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"MC",23,"1=Left,2=Right",96
"submit",,,"page_84","Continue","Continue",0,,"",,"CB",24,,97
"submit",,,"page_88","Continue","Continue",0,,"",,"GB",24,,98
"submit",,,"page_92","Continue","Continue",0,,"",,"KB",24,,99
"submit",,,"page_96","Continue","Continue",0,,"",,"OB",24,,100
"submit",,,"page_100","Continue","Continue",0,,"",,"SB",24,,101
"submit",,,"page_104","Continue","Continue",0,,"",,"WB",24,,102
"submit",,,"page_108","Continue","Continue",0,,"",,"ACA",24,,103
"submit",,,"page_112","Continue","Continue",0,,"",,"EC",24,,104
"submit",,,"page_116","Continue","Continue",0,,"",,"IC",24,,105
"submit",,,"page_120","Continue","Continue",0,,"",,"MC",24,,106
"note",,,"note_catch3","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/lChhSF2IxHyyezgRtMUU/catch3.png?v=1774440479"" alt=""83a_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/lChhSF2IxHyyezgRtMUU/catch3.png?v=1774440479"" alt=""83a_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"",25,,107
"range","slider_catch3","1,100,1","slider_catch3","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"",26,"1=Left,2=Right",108
"submit",,,"page_catch3","Continue","Continue",0,,"",,"",27,,109
"note",,,"note_121","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/4H0glOlH8A5j9-jJ879S/121_kolaz.png?v=1773306011"" alt=""121_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/4H0glOlH8A5j9-jJ879S/121_kolaz.png?v=1773306011"" alt=""121_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"QC",28,,110
"note",,,"note_125","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/4H0glOlH8A5j9-jJ879S/125_kolaz.png?v=1773306011"" alt=""125_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/4H0glOlH8A5j9-jJ879S/125_kolaz.png?v=1773306011"" alt=""125_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"UC",28,,111
"note",,,"note_129","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/-e6HpLlbH6o0H41h_P8E/129_kolaz.png?v=1773305989"" alt=""129_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/-e6HpLlbH6o0H41h_P8E/129_kolaz.png?v=1773305989"" alt=""129_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"YC",28,,112
"note",,,"note_133","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/2XFrFBscqkiaTxrg6RRp/133_kolaz.png?v=1773305922"" alt=""133_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/2XFrFBscqkiaTxrg6RRp/133_kolaz.png?v=1773305922"" alt=""133_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"CDC",28,,113
"note",,,"note_137","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/UL41GPUFagUb_q4RHQU7/137_kolaz.png?v=1773305891"" alt=""137_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/UL41GPUFagUb_q4RHQU7/137_kolaz.png?v=1773305891"" alt=""137_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"GD",28,,114
"note",,,"note_141","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/52L47cLQ8uADfBQJ2sRN/141_kolaz.png?v=1773305867"" alt=""141_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/52L47cLQ8uADfBQJ2sRN/141_kolaz.png?v=1773305867"" alt=""141_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"KD",28,,115
"note",,,"note_145","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/52L47cLQ8uADfBQJ2sRN/145_kolaz.png?v=1773305867"" alt=""145_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/52L47cLQ8uADfBQJ2sRN/145_kolaz.png?v=1773305867"" alt=""145_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"OD",28,,116
"note",,,"note_149","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/EfrK3AUcgFnGs931bPZG/149_kolaz.png?v=1773305843"" alt=""149_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/EfrK3AUcgFnGs931bPZG/149_kolaz.png?v=1773305843"" alt=""149_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"SD",28,,117
"note",,,"note_153","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/iMtM3tr6p1X3M9JxZrki/153_kolaz.png?v=1773305823"" alt=""153_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/iMtM3tr6p1X3M9JxZrki/153_kolaz.png?v=1773305823"" alt=""153_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"WD",28,,118
"note",,,"note_157","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/LYBFYuQKPLVCzItYsJLQ/157_kolaz.png?v=1773305797"" alt=""157_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/LYBFYuQKPLVCzItYsJLQ/157_kolaz.png?v=1773305797"" alt=""157_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"AEA",28,,119
"range","slider_121","1,100,1","slider_121","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"QC",29,"1=Left,2=Right",120
"range","slider_125","1,100,1","slider_125","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"UC",29,"1=Left,2=Right",121
"range","slider_129","1,100,1","slider_129","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"YC",29,"1=Left,2=Right",122
"range","slider_133","1,100,1","slider_133","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"CDC",29,"1=Left,2=Right",123
"range","slider_137","1,100,1","slider_137","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"GD",29,"1=Left,2=Right",124
"range","slider_141","1,100,1","slider_141","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"KD",29,"1=Left,2=Right",125
"range","slider_145","1,100,1","slider_145","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"OD",29,"1=Left,2=Right",126
"range","slider_149","1,100,1","slider_149","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"SD",29,"1=Left,2=Right",127
"range","slider_153","1,100,1","slider_153","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"WD",29,"1=Left,2=Right",128
"range","slider_157","1,100,1","slider_157","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"AEA",29,"1=Left,2=Right",129
"submit",,,"page_124","Continue","Continue",0,,"",,"QC",30,,130
"submit",,,"page_128","Continue","Continue",0,,"",,"UC",30,,131
"submit",,,"page_132","Continue","Continue",0,,"",,"YC",30,,132
"submit",,,"page_136","Continue","Continue",0,,"",,"CDC",30,,133
"submit",,,"page_140","Continue","Continue",0,,"",,"GD",30,,134
"submit",,,"page_144","Continue","Continue",0,,"",,"KD",30,,135
"submit",,,"page_148","Continue","Continue",0,,"",,"OD",30,,136
"submit",,,"page_152","Continue","Continue",0,,"",,"SD",30,,137
"submit",,,"page_156","Continue","Continue",0,,"",,"WD",30,,138
"submit",,,"page_160","Continue","Continue",0,,"",,"AEA",30,,139
"note",,,"note_catch4","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/lChhSF2IxHyyezgRtMUU/catch4.png?v=1774440479"" alt=""163a_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/lChhSF2IxHyyezgRtMUU/catch4.png?v=1774440479"" alt=""163a_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"",31,,140
"range","slider_catch4","1,100,1","slider_catch4","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"",32,"1=Left,2=Right",141
"submit",,,"page_catch4","Continue","Continue",0,,"",,"",33,,142
"note",,,"note_161","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/hn9i57peRpszeq00SRv3/161_kolaz.png?v=1773305745"" alt=""161_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/hn9i57peRpszeq00SRv3/161_kolaz.png?v=1773305745"" alt=""161_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"EEA",34,,143
"note",,,"note_165","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/hn9i57peRpszeq00SRv3/165_kolaz.png?v=1773305745"" alt=""165_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/hn9i57peRpszeq00SRv3/165_kolaz.png?v=1773305745"" alt=""165_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"IE",34,,144
"note",,,"note_169","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/7dkpPjrWaL7_fUAWSJGD/169_kolaz.png?v=1773305727"" alt=""169_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/7dkpPjrWaL7_fUAWSJGD/169_kolaz.png?v=1773305727"" alt=""169_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"ME",34,,145
"note",,,"note_173","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/oySU_UFykIV5IrJ_DUZR/173_kolaz.png?v=1773305659"" alt=""173_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/oySU_UFykIV5IrJ_DUZR/173_kolaz.png?v=1773305659"" alt=""173_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"QE",34,,146
"note",,,"note_177","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/Skj0ezuTkA_f7spYOCmq/177_kolaz.png?v=1773305636"" alt=""177_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/Skj0ezuTkA_f7spYOCmq/177_kolaz.png?v=1773305636"" alt=""177_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"UE",34,,147
"note",,,"note_181","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/hZPLGwCToxPqmst2AEwq/181_kolaz.png?v=1773305612"" alt=""181_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/hZPLGwCToxPqmst2AEwq/181_kolaz.png?v=1773305612"" alt=""181_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"YE",34,,148
"note",,,"note_185","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/hZPLGwCToxPqmst2AEwq/185_kolaz.png?v=1773305612"" alt=""185_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/hZPLGwCToxPqmst2AEwq/185_kolaz.png?v=1773305612"" alt=""185_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"CFC",34,,149
"note",,,"note_189","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/zBYrebAnJcl_gqPDFQrQ/189_kolaz.png?v=1773305588"" alt=""189_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/zBYrebAnJcl_gqPDFQrQ/189_kolaz.png?v=1773305588"" alt=""189_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"GF",34,,150
"note",,,"note_193","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/67T6B9M899reTM_pMGzO/193_kolaz.png?v=1773305559"" alt=""193_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/67T6B9M899reTM_pMGzO/193_kolaz.png?v=1773305559"" alt=""193_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"KF",34,,151
"note",,,"note_197","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/u1qlCUgVPPEICNySvjfn/197_kolaz.png?v=1773305537"" alt=""197_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;"">","<div style=""text-align: center;""> <img src=""https://www.uklab.cz/assets/tmp/admin/u1qlCUgVPPEICNySvjfn/197_kolaz.png?v=1773305537"" alt=""197_kolaz"" class=""responsive"" style=""max-width: 70%; height: auto;""></div>",1,,"",,"OF",34,,152
"range","slider_161","1,100,1","slider_161","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"EEA",35,"1=Left,2=Right",153
"range","slider_165","1,100,1","slider_165","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"IE",35,"1=Left,2=Right",154
"range","slider_169","1,100,1","slider_169","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"ME",35,"1=Left,2=Right",155
"range","slider_173","1,100,1","slider_173","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"QE",35,"1=Left,2=Right",156
"range","slider_177","1,100,1","slider_177","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"UE",35,"1=Left,2=Right",157
"range","slider_181","1,100,1","slider_181","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"YE",35,"1=Left,2=Right",158
"range","slider_185","1,100,1","slider_185","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"CFC",35,"1=Left,2=Right",159
"range","slider_189","1,100,1","slider_189","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"GF",35,"1=Left,2=Right",160
"range","slider_193","1,100,1","slider_193","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"KF",35,"1=Left,2=Right",161
"range","slider_197","1,100,1","slider_197","### Which of these two images is the top image more similar to?","<h3>Which of these two images is the top image more similar to?</h3>",0,,"",,"OF",35,"1=Left,2=Right",162
"submit",,,"page_164","Continue","Continue",0,,"",,"EEA",36,,163
"submit",,,"page_168","Continue","Continue",0,,"",,"IE",36,,164
"submit",,,"page_172","Continue","Continue",0,,"",,"ME",36,,165
"submit",,,"page_176","Continue","Continue",0,,"",,"QE",36,,166
"submit",,,"page_180","Continue","Continue",0,,"",,"UE",36,,167
"submit",,,"page_184","Continue","Continue",0,,"",,"YE",36,,168
"submit",,,"page_188","Continue","Continue",0,,"",,"CFC",36,,169
"submit",,,"page_192","Continue","Continue",0,,"",,"GF",36,,170
"submit",,,"page_196","Continue","Continue",0,,"",,"KF",36,,171
"submit",,,"page_200","Continue","Continue",0,,"",,"OF",36,,172
